"","listing_id","Mean","Max","Min","Median","Std"
"18045",9640592,18,29,1,21,12
"18046",9640671,25,31,3,30,10
"18047",9640869,27,31,16,30,6
"18048",9640931,28,31,16,30,5
"18049",9641058,19,31,4,21,13
"18050",9641235,6,16,1,2,7
"18051",9641727,28,31,17,30,5
"18052",9642104,28,31,18,30,4
"18053",9649202,4,8,1,4,5
"18054",9649399,29,31,3,30,6
"18055",9649495,28,31,3,30,6
"18056",9649591,28,31,1,30,8
"18057",9650263,28,31,1,30,8
"18058",9650342,29,31,3,30,6
"18059",9650362,27,31,3,30,8
"18060",9650518,28,31,3,30,8
"18061",9650841,21,21,21,21,NA
"18062",9650854,22,31,4,30,11
"18063",9650988,28,31,3,30,8
"18064",9651308,25,31,3,30,9
"18065",9651322,14,31,2,12,13
"18066",9651331,27,31,1,30,8
"18067",9651380,28,31,1,30,8
"18068",9651483,28,31,1,30,8
"18069",9651782,29,31,20,30,3
"18070",9651934,19,29,9,19,14
"18071",9651966,26,31,3,30,9
"18072",9652080,30,31,29,29,1
"18073",9652081,10,14,5,10,6
"18074",9652193,27,31,22,29,5
"18075",9652222,12,28,3,4,14
"18076",9652604,29,31,3,30,6
"18077",9652627,29,31,20,30,3
"18078",9652654,29,31,20,30,3
"18079",9652725,29,31,6,31,7
"18080",9652771,10,17,4,10,9
"18081",9653085,17,26,7,16,7
"18082",9653150,25,31,3,30,10
"18083",9653521,16,29,5,15,12
"18084",9653597,29,31,3,30,6
"18085",9653649,2,2,2,2,NA
"18086",9653704,28,31,20,30,4
"18087",9653711,28,31,14,30,5
"18088",9653791,22,31,8,29,11
"18089",9653818,27,31,1,30,9
"18090",9653930,18,31,2,18,12
"18091",9653963,26,31,1,30,10
"18092",9654043,29,31,20,30,3
"18093",9654068,5,10,1,5,4
"18094",9654507,29,31,4,30,6
"18095",9654514,22,31,1,30,14
"18096",9654586,28,31,3,30,7
"18097",9654588,27,31,1,30,9
"18098",9654731,28,31,3,30,8
"18099",9654741,27,31,1,30,10
"18100",9654747,29,31,3,30,6
"18101",9655053,28,31,17,30,5
"18102",9655067,25,31,3,30,10
"18103",9655256,29,31,18,30,4
"18104",9655613,25,31,1,30,12
"18105",9655638,27,31,3,30,7
"18106",9655707,26,31,1,30,9
"18107",9655711,26,31,1,30,10
"18108",9655839,1,1,1,1,NA
"18109",9656181,29,31,19,30,4
"18110",9656270,27,31,1,30,9
"18111",9656336,23,31,1,26,11
"18112",9656364,29,30,28,29,1
"18113",9656425,29,31,3,30,6
"18114",9656429,25,31,3,30,10
"18115",9656694,11,20,2,11,9
"18116",9656782,10,18,3,10,11
"18117",9656968,25,31,1,30,10
"18118",9657057,28,31,3,30,7
"18119",9657154,20,31,3,21,11
"18120",9657209,29,31,18,30,4
"18121",9657306,3,3,3,3,NA
"18122",9657388,7,18,2,2,9
"18123",9657539,20,20,20,20,NA
"18124",9657576,28,31,3,30,6
"18125",9657630,27,31,1,30,8
"18126",9657727,29,31,3,30,6
"18127",9657873,27,31,3,30,8
"18128",9657926,27,31,1,30,9
"18129",9657988,20,31,1,30,15
"18130",9658314,6,11,2,4,5
"18131",9658567,20,28,5,21,9
"18132",9659624,15,15,15,15,NA
"18133",9660122,20,31,3,24,12
"18134",9663038,23,31,9,26,10
"18135",9663186,29,31,3,30,6
"18136",9663878,20,31,5,28,12
"18137",9664681,12,16,7,12,6
"18138",9665080,27,31,1,30,8
"18139",9665539,16,25,7,16,13
"18140",9665679,28,31,3,30,7
"18141",9665798,27,31,1,30,9
"18142",9666037,28,31,1,30,8
"18143",9666131,20,31,8,20,12
"18144",9666153,27,31,5,30,7
"18145",9666808,29,31,3,31,6
"18146",9666849,8,15,2,8,9
"18147",9666861,19,31,7,19,17
"18148",9667019,29,31,3,30,6
"18149",9667174,27,28,26,26,1
"18150",9667235,28,31,3,30,8
"18151",9667269,20,31,2,28,12
"18152",9667405,16,31,1,16,16
"18153",9667456,27,31,1,30,8
"18154",9667469,28,31,3,30,6
"18155",9667606,27,31,21,29,5
"18156",9667632,28,31,20,30,4
"18157",9667709,17,17,17,17,NA
"18158",9667809,13,13,13,13,NA
"18159",9668057,1,1,1,1,0
"18160",9668080,27,31,2,30,8
"18161",9668326,24,31,1,29,10
"18162",9668343,1,1,1,1,NA
"18163",9668423,29,31,3,30,6
"18164",9668439,29,31,19,30,3
"18165",9668507,13,25,3,12,11
"18166",9668615,24,31,1,30,11
"18167",9668661,28,31,3,30,8
"18168",9668744,28,31,1,30,8
"18169",9668846,24,31,2,30,11
"18170",9668977,3,3,3,3,0
"18171",9669025,27,31,1,30,9
"18172",9669106,12,21,2,12,13
"18173",9669251,8,8,8,8,NA
"18174",9669399,4,4,3,4,1
"18175",9669450,13,21,5,13,11
"18176",9669472,10,12,7,10,4
"18177",9669485,23,31,1,30,13
"18178",9669518,12,23,2,10,8
"18179",9669521,7,7,7,7,NA
"18180",9669563,29,31,3,31,6
