"","city","bathrooms","bedrooms","beds","price","review_scores_rating","spoi1km","spoi5km","spoi10km","dist_train","beach1km","beach5km","city1km","city5km","city10km","home_apt","private_room","shared_room","Apartment","House","Townhouse"
"12225","Bondi Beach",1,1,1,150,93,0,52,71,0,1,0,0,0,1,"0","1","0","1","0","0"
"12226","Bondi Beach",1,1,1,200,100,0,52,66,0,1,0,0,0,1,"1","0","0","1","0","0"
"12227","Newtown",1,1,2,42,89,0,184,57,1,0,0,0,1,0,"0","1","0","1","0","0"
"12228","Paddington",1,3,3,500,96,20,180,50,1,0,1,0,1,0,"1","0","0","0","1","0"
"12229","Zetland",1,1,2,58,100,20,120,59,1,0,1,0,1,0,"0","0","1","1","0","0"
"12230","Waterloo",1,1,1,249,100,20,168,54,1,0,0,0,1,0,"1","0","0","1","0","0"
"12231","Zetland",1,1,1,89,100,20,132,58,1,0,1,0,1,0,"0","1","0","1","0","0"
"12232","Bilgola Beach",2.5,2,4,220,97,20,8,5,0,1,0,0,0,0,"1","0","0","0","1","0"
"12233","Clovelly",1,1,1,60,100,0,12,74,0,1,0,0,0,1,"0","1","0","1","0","0"
"12234","Forest Lodge",3,1,1,50,70,20,220,64,1,0,0,0,1,0,"0","1","0","0","1","0"
"12235","Sydney",1,1,1,50,93,300,168,62,1,0,1,1,0,0,"0","1","0","1","0","0"
"12236","Manly",3.5,3,3,350,100,20,80,44,0,1,0,0,0,0,"1","0","0","0","1","0"
"12237","Surry Hills",1.5,1,1,64,100,80,192,63,1,0,1,0,1,0,"0","1","0","1","0","0"
"12238","Darlinghurst",1,2,2,275,80,100,216,54,1,0,1,0,1,0,"1","0","0","1","0","0"
"12239","Woolloomooloo",1,1,1,101,100,240,188,55,1,0,1,0,1,0,"0","1","0","1","0","0"
"12240","Haymarket",2,2,4,219,85,220,184,62,1,0,1,1,0,0,"1","0","0","1","0","0"
"12241","Rhodes",1,2,2,160,75,0,80,110,1,0,0,0,0,1,"1","0","0","1","0","0"
"12242","Queenscliff",1,1,2,150,100,20,40,33,0,1,0,0,0,0,"0","1","0","1","0","0"
"12243","Bondi Beach",1,2,2,225,91,0,40,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"12244","Arncliffe",1,1,1,72,80,0,28,78,1,0,1,0,0,1,"0","1","0","1","0","0"
"12245","Manly",1,1,1,89,93,100,36,36,0,1,0,0,0,0,"0","1","0","1","0","0"
"12246","Zetland",2,2,2,156,100,20,132,59,1,0,1,0,1,0,"1","0","0","1","0","0"
"12247","Redfern",2,1,1,70,100,80,188,59,1,0,1,0,1,0,"0","1","0","0","1","0"
"12248","Pyrmont",1,1,1,60,100,140,196,68,1,0,1,1,0,0,"0","1","0","1","0","0"
"12249","Darlinghurst",1,1,1,240,87,140,204,53,1,0,1,0,1,0,"1","0","0","1","0","0"
"12250","Manly Vale",1,1,1,200,85,0,52,43,0,0,1,0,0,0,"1","0","0","1","0","0"
"12251","Bondi Beach",1,0,1,90,95,0,52,71,0,0,1,0,0,1,"1","0","0","1","0","0"
"12252","Ashfield",1,1,1,35,100,60,104,88,1,0,0,0,0,1,"0","1","0","0","1","0"
"12253","Glebe",1,1,1,135,100,40,224,70,1,0,0,0,1,0,"0","1","0","0","1","0"
"12254","",2,1,1,75,100,100,212,53,1,0,1,0,1,0,"0","1","0","0","1","0"
"12255","Newtown",2,4,8,400,90,20,212,52,1,0,0,0,1,0,"1","0","0","0","1","0"
"12256","Meadowbank",2,4,5,249,100,120,64,117,1,0,0,0,0,1,"1","0","0","0","1","0"
"12257","Leichhardt",1.5,1,1,70,100,20,136,82,1,0,0,0,0,1,"0","1","0","0","1","0"
"12258","Riverview",2,5,6,500,100,60,120,106,0,0,0,0,0,1,"1","0","0","0","1","0"
"12259","Darlinghurst",1,2,2,684,87,100,212,53,1,0,1,0,1,0,"1","0","0","1","0","0"
"12260","Sydney",1,2,4,229,95,200,188,67,1,0,1,1,0,0,"1","0","0","1","0","0"
"12261","Bondi Beach",1,1,3,80,100,0,36,65,0,1,0,0,0,1,"0","1","0","1","0","0"
"12262","Newtown",1,1,1,70,100,0,172,58,1,0,0,0,1,0,"0","1","0","0","1","0"
"12263","Queens Park",1,1,1,135,100,20,68,65,1,0,1,0,0,1,"1","0","0","1","0","0"
"12264","Saint Clair",1,1,1,84,100,0,8,3,0,0,0,0,0,0,"0","1","0","0","1","0"
"12265","Surry Hills",1.5,1,1,55,83,80,196,61,1,0,1,0,1,0,"0","1","0","0","1","0"
"12266","Mosman",1,2,3,235,93,0,228,53,0,1,0,0,1,0,"1","0","0","1","0","0"
"12267","Bondi Beach",1,2,2,249,100,0,36,68,0,1,0,0,0,1,"1","0","0","1","0","0"
"12268","Surry Hills",0,1,2,101,80,40,212,51,1,0,1,0,1,0,"0","1","0","0","1","0"
"12269","Auburn",2,2,2,209,100,20,56,83,0,0,0,0,0,1,"1","0","0","0","1","0"
"12270","Artarmon",1,1,1,99,98,100,108,101,1,0,0,0,0,1,"1","0","0","1","0","0"
"12271","Lane Cove",1,1,1,59,100,20,112,113,0,0,0,0,0,1,"0","1","0","1","0","0"
"12272","Botany",1,0,1,130,94,0,12,72,0,0,1,0,0,1,"1","0","0","1","0","0"
"12273","Lavender Bay",1,0,1,190,95,80,248,59,1,0,1,0,1,0,"1","0","0","1","0","0"
"12274","Mascot",1,1,1,44,82,0,24,85,1,0,0,0,0,1,"0","1","0","1","0","0"
"12275","Waverton",2,3,2,500,100,60,260,65,1,0,1,0,1,0,"1","0","0","1","0","0"
"12276","Bilgola Beach",2,4,4,451,89,20,8,5,0,1,0,0,0,0,"1","0","0","0","1","0"
"12277","Pyrmont",1,1,1,60,100,200,188,66,1,0,1,1,0,0,"0","1","0","1","0","0"
"12278","Manly Vale",1,1,1,70,80,0,60,48,0,0,1,0,0,0,"0","1","0","1","0","0"
"12279","Paddington",1,1,1,150,93,60,204,54,1,0,1,0,1,0,"0","1","0","0","1","0"
"12280","Sydney",1,1,1,90,75,380,160,62,1,0,1,1,0,0,"0","1","0","1","0","0"
"12281","Rhodes",1,1,1,63,97,0,84,108,1,0,0,0,0,1,"1","0","0","1","0","0"
"12282","Bondi Beach",1,1,1,80,96,0,56,68,0,1,0,0,0,1,"0","1","0","1","0","0"
"12283","Bondi Beach",1,1,1,150,100,0,52,65,0,1,0,0,0,1,"1","0","0","1","0","0"
"12284","Cronulla",1,2,3,90,96,0,12,17,1,1,0,0,0,0,"1","0","0","1","0","0"
"12285","Woolloomooloo",1,1,1,165,100,120,212,57,1,0,1,0,1,0,"1","0","0","1","0","0"
"12286","Darlinghurst",1,1,1,200,80,80,220,54,1,0,1,0,1,0,"1","0","0","1","0","0"
"12287","Bondi Junction",1,1,1,150,100,20,112,57,1,0,1,0,1,0,"1","0","0","1","0","0"
"12288","Bondi",1,1,1,60,98,0,56,67,0,0,1,0,0,1,"0","1","0","1","0","0"
"12289","Warriewood",2,2,3,198,94,0,0,7,0,0,1,0,0,0,"1","0","0","1","0","0"
"12290","Curl Curl",1,1,1,58,93,0,20,30,0,1,0,0,0,0,"0","1","0","0","1","0"
"12291","Zetland",1,1,1,101,100,20,136,57,1,0,1,0,1,0,"1","0","0","1","0","0"
"12292","Tamarama",1,1,1,137,95,20,16,73,0,1,0,0,0,1,"1","0","0","1","0","0"
"12293","Dee Why",1,2,3,143,90,0,4,21,0,0,1,0,0,0,"1","0","0","1","0","0"
"12294","Neutral Bay",1,1,1,119,86,20,280,45,0,1,0,0,1,0,"0","1","0","1","0","0"
"12295","Surry Hills",1,0,1,119,99,100,204,52,1,0,1,0,1,0,"1","0","0","1","0","0"
"12296","Darlinghurst",1,1,1,130,94,60,220,55,1,0,1,0,1,0,"1","0","0","1","0","0"
"12297","Bondi Beach",1,1,1,80,97,0,40,65,0,1,0,0,0,1,"0","1","0","1","0","0"
"12298","Earlwood",1,2,2,160,80,0,72,56,1,0,0,0,0,1,"1","0","0","1","0","0"
"12299","North Bondi",1,2,2,190,83,0,60,70,0,0,1,0,0,1,"1","0","0","1","0","0"
"12300","Centennial Park",1,1,2,75,93,0,164,51,0,0,1,0,1,0,"0","1","0","1","0","0"
"12301","Elizabeth Bay",1,1,1,115,95,60,216,59,1,0,1,0,1,0,"1","0","0","1","0","0"
"12302","Paddington",1,1,2,125,100,60,200,54,1,0,1,0,1,0,"1","0","0","1","0","0"
"12303","Balgowlah",1,1,1,80,93,0,80,73,0,0,1,0,0,1,"1","0","0","1","0","0"
"12304","Paddington",2.5,3,3,599,100,20,204,55,0,0,1,0,1,0,"1","0","0","0","1","0"
"12305","Alexandria",1,3,3,220,87,0,192,52,1,0,0,0,1,0,"1","0","0","0","1","0"
"12306","Vaucluse",1,1,1,215,100,40,88,66,0,0,1,0,0,1,"1","0","0","1","0","0"
"12307","Bondi Beach",1,1,1,149,100,0,52,66,0,1,0,0,0,1,"1","0","0","1","0","0"
"12308","Kensington",1,1,1,118,95,0,132,58,0,0,1,0,1,0,"0","1","0","1","0","0"
"12309","Seaforth",2,5,5,495,100,0,92,78,0,1,0,0,0,1,"1","0","0","0","1","0"
"12310","Marsfield",1.5,1,2,55,80,0,92,54,0,0,0,0,0,0,"0","0","1","0","0","1"
"12311","Cromer",3,4,6,850,100,0,4,16,0,0,1,0,0,0,"1","0","0","0","1","0"
"12312","Forestville",1,0,2,150,80,0,60,57,0,0,0,0,0,0,"1","0","0","1","0","0"
"12313","Collaroy Plateau",2,3,3,249,80,0,4,13,0,0,1,0,0,0,"1","0","0","0","1","0"
"12314","Mosman",1,1,1,75,94,20,256,46,0,1,0,0,1,0,"0","1","0","1","0","0"
"12315","North Bondi",1,1,1,75,100,0,36,68,0,1,0,0,0,1,"0","1","0","1","0","0"
"12316","Manly",2,2,3,595,100,100,44,34,0,1,0,0,0,0,"1","0","0","1","0","0"
"12317","Petersham",3,4,6,400,100,20,136,78,1,0,0,0,0,1,"1","0","0","0","1","0"
"12318","Bondi Beach",1,3,3,400,97,0,48,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"12319","Coogee",2,3,4,440,100,0,8,71,0,1,0,0,0,1,"1","0","0","1","0","0"
"12320","Dee Why",1,1,1,48,100,0,4,24,0,1,0,0,0,0,"0","1","0","1","0","0"
"12321","Bondi Beach",1,2,2,200,94,0,52,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"12322","Mosman",2,1,1,160,100,20,148,75,0,1,0,0,0,1,"0","1","0","1","0","0"
"12323","Wollstonecraft",1,1,1,84,97,0,268,74,1,0,1,0,1,0,"1","0","0","1","0","0"
"12324","Parramatta",1,1,1,52,94,320,148,31,1,0,0,1,0,0,"0","1","0","0","1","0"
"12325","Newtown",1,1,1,39,100,0,200,53,1,0,0,0,1,0,"0","0","1","0","1","0"
"12326","Kensington",1.5,1,1,60,99,0,108,64,0,0,1,0,1,0,"0","1","0","0","0","1"
"12327","Elizabeth Bay",1,0,1,90,91,40,224,57,1,0,1,0,1,0,"1","0","0","1","0","0"
"12328","Kingsford",1,1,1,59,93,0,28,73,0,0,1,0,0,1,"0","1","0","1","0","0"
"12329","North Sydney",2.5,1,1,64,97,60,244,63,1,0,1,0,1,0,"0","1","0","0","0","1"
"12330","Queenscliff",1,1,1,115,80,0,40,40,0,1,0,0,0,0,"0","1","0","1","0","0"
"12331","Newport",1.5,3,2,451,100,20,8,5,0,1,0,0,0,0,"1","0","0","0","1","0"
"12332","Erskineville",1,1,1,101,100,0,200,54,1,0,0,0,1,0,"0","1","0","0","1","0"
"12333","Wolli Creek",1,1,1,89,96,20,24,80,1,0,1,0,0,1,"0","1","0","1","0","0"
"12334","Artarmon",1.5,1,1,89,96,80,112,101,1,0,0,0,0,1,"0","1","0","0","0","1"
"12335","Glebe",1,1,1,160,98,20,228,70,1,0,0,0,1,0,"1","0","0","1","0","0"
"12336","Bundeena",2,4,8,350,95,0,4,8,0,1,0,0,0,0,"1","0","0","0","1","0"
"12337","Saint Peters",1,0,1,119,99,0,80,77,1,0,0,0,1,0,"1","0","0","1","0","0"
